review,rating
"saya berharap layanan aplikasi ini dapat membantu TKI yang di Malaysia juga. sebab dalam pendaftaran akun baru tiada pilihan untuk nomor Malaysia (+60), jadi saya juga kesulitan untuk itu. Sebagai TKi tentu menggunakan produk dalam negeri di manapun dan kapanpun akan sangat membantu kami. Terlebih yang bisa dijamin keamanannya oleh negara.",3
"pengalaman yg kurang mengenakkan.. mitra drivernya yg berganti2 ternyata tutup apotek nya.. pas di check order sdh terkonfirmasi jadi tidak bisa di batalkan.. suruh hubungi cs nya, malah di puter2 & prosedur agak ribet namun setelah di konfirmasi by phone langsung cepat tanggap. saran&masukan : kalo bisa diperbaharui lagi sistem aplikasi nya agar terus update utamanya seputar pengiriman produk/obat nya, apabila terjadi kendala pilihan cancel mdh agar tidak berdampak ke customer terimakasih",3
"Aplikasi ini sangat bagus, sangat bermanfaat dan membantu saya sebagai Guru Bahasa Inggris di Sekolah Dasar, untuk mengetahui jenis kelamin pada peserta didik dengan benar. Menurut pengalaman saya, banyak peserta didik yang memiliki kekurangan dan kelainan dalam sikap, watak, karakter, dan tingkah laku, sehingga sangat sulit bagi seorang Guru, untuk mendidik, mengatur, membimbing dengan benar. Aplikasi sangat membantu dan memberikan manfaat bagi Guru untuk mengatasi kekurangan peserta didik.",5
"mak-mak mana yang tengah malam galau buat milih metode KB dan akhirnya curhat panjang ke ahlinya. terimakasih halodoc, dari dulu sampai sekarang ngebantu banget urusan galau2 di tengah malam gini.",5
"awal pertama pesan obat memang oke, tp pembelian ke 2 pesanan saya dibatalkan tetapi sdh 1 bulan sejak pesanan dibatalkan tidak ada pengembalian dana masuk di mbanking saya padahal distatus pengembalian dana selesai tetapi saya tidak menerima",1
"overall oke. Yang saya kurang suka adalah pengiriman dibedakan, ada yang instan dan reguler. Ini kan untuk kesehatan ya. kenapa ga usahakan yang terbaik agar obat bisa diterima oleh pelanggan, tapi justru dianggap jadi ladang bisnis dan dibuat kelas. edit : dari bintang 3 jadi bintang 1. review jujur, eh dibalas hubungi cs untuk keluhan.",1
"saran dan masukan ajha. kalau bisah,ketika ada yg pesan obat kesehatan di aplikasi ini,pengrimannya,tlng di percepat,karena ini,menyangkut masalah kesehatan pasien.klu kita nggk sakit,nggk mungkin kita pesan obat secara online di aplikasi ini.bukan di permuda,malah ribet dan lama nunggunya.mksh.semogah kedepannya,lebih di permudah dan di percepat pengirimannya.",1
"aplikasi halodoc sdh bagus,membantu org yang butuh obat dgn waktu relatif cepat, tp tidak untuk aplikasi delivery nya, yaitu medex yg tidak masuk akal, maunya untung besar, dan membayar murah...",1
"Mudah mudahan cocok dan bermanfaat beli obat lewat halodoc dan juga terimakasih atas konsultasi dengan bu dokternya, kita bisa hemat biaya dan hemat waktunya, lebih efisien, ndak ribet, obat bisa langsung di anterin, terima kasih halodoc... 🙏",5
"terlalu ribet dan kliatan banget ini apalagi nyari duit nya , untuk mode pengiriman udah Dil yang instan memang jauh lebih mahal ya udah ga pp, tapi kenapa beli obat nya harus nambah biar bisa di proses, padahal jumlah obat yang di beli udah sesuai kebutuhan, jika di tambah maka akan mubasir, aplikasi nya sangat mengecewakan dan tidak berguna",1
"Menyenangkan sekali.. kita ga harus antri ke poly RS atau ke tempat praktek dokter.. makasi ya halodoc, ini sangat membantu.. Sedikit masukkan ya, akan lebih baik, seandainya ditambahkan fitur voice notenya",5
pengalaman pertama ketika memakai aplikasi ini pesanan obat untuk ibu saya langsung dibatalkan padahal obat itu sangat diperlukan tanpa ada notifikasi pemberitahuan sampai saya mengecek di aplikasi kalo pesanan obat sayq dibatalkan sangat mengecewakan cukup sekali memakai aplikasi ini terima kasih,1
"saya mau pakai ""pengingat obat"" tp ternyata ga bs diubah bagian *berapa kali sehari* itu ga bs diubah cuma bisa diubah jam saja, misalnya mau mengubah jadwal minum obat jd ke 2×sehari/ setiap 5 jam sekali, ga bs diubah, cm bs 3 × sehari. Pdhl sy udh berobat diaplikasi jd krn ga bs diubah, harus unduh aplikasi lain. Jd harus pake 2 aplikasi berbeda",1
"ini aplikasi penyedia obat. kita semua tahu, obat adalah pertolongan yang harus di segerakan, bukan seperti barang yang masih bisa kita tunda. Seharusnya lebih dikembangkan lagi penyedia di setiap kota, agar tidak terjadi pengiriman yang harus jauh dari tujuan. setiap kota bahkan setiap kecamatan pasti sudah memiliki apotek.",1
"bintang tiga dulu,soalnya ketika chat sama dokter dan perlu foto hasil pemeriksaan dan meng Upload nya batasan Filenya terlalu kecil sehingga file atau foto pecah sehingga dokter tidak bisa membaca file atau video yang kita konsultasikan ke dokter",3
"parah sekali aplikasi ini Hp saya sudah termasuk canggih ,mau main game beratpun nggak ada masalah ,tapi anehnya pas mau buka aplikasi ini malah bikin Hp saya jadi error dan harus restart kembali ,berulang kali setiap buka aplikasi ini pasti harus di restart lagi",1
"entah kenapa tidak bisa login tidak mau menerima otp,padahal udh saya tes dari pagi ke malam Masi juga tidak bisa,tolong di perbaiki lagi aplikasi,saya juga udh tes di beberapa hp saudara saya tapi masih tidak bisa,sudah jelas bukan hp saya yang salah.",1
"halodoc aku kadang bisa di pencet kadang gabisa, lebih sering gabisa dipencet. padahal memori aku banyak, dari 256gb yang kepake baru 55gb. buat ngeklik asal aja susah banget, kaya ngefreeze gitu:( tolong bantuannya pls.. aku perlu banget konsul sama dokter spkk, kalau di klinik kecantikan mahal bgt, ga ramah di kantong pelajar huhu:(",1
"sangat efisien disaat GK bisa kemana"" dn ada solusi yg terbaik di halodoc.sangat membantu..trimakasih halodoc dr yg direkomendasikan sangat ahli ..dan sakit yg saya rasakan udh berangsung membaik..",5
"apliaksi yg sangat membantu untuk org bisa konsultasi di aplikasi ini. namun ada beberapa yg di sayangkan untuk saya.. ketika chat dengan dokter bagi saya 50rb itu lumayan. dan yg saya dapet dari konsultasi itu cuma kata ""siap "" bukanya konstitusi dapet solusi malah dapet emosi....",1
"sangat sangat membantu, di kasih resep obat juga bila diperlukan bisa pilih dokter sesuai bugdet dan saya dpt dokter yg bener² bkin puas sudah 4x konsul dengan dokter dan masalah yg berbeda hanya saja harus siap pertanyaan harus cepat ngetik karna waktunya cuma 30 menit",5
"aplikasi yg sgt membantu ketika obat yg dicari ga ada/kosong di apotek dekat rumah, ketika kondisi lg drop dan ga ada yg disuruh beli, ketika merasa harus cek dokter tp keadaan ga memungkinkan pergi. top lah pokoknya",5
"Aplikasi yg bgs dgn tujuan yg mulia. Namun, ada bbrp sistem aplikasi ini yg mngkn bisa dibenahi. Dri pengalaman sy, seperti obat yg sya beli tdk jelas tgl ED di kemasan obatnya, alangkah baiknya dari sistem bisa menyertakan tgl ed obat stlh pemesanan berhasil dibuat agr tdk ada keraguan/tlh dijamin. Lalu, tdk perlu ada pilihan pengantaran reguler estimasi 4 hari baru sampai, cust yg membeli obat artiny sdnng sakit dan butuh obat segera. Besar harapan sy halodoc bisa berkembang lebih baik. Trims.",3
"Halodoc mudah di akses, pelayanan online oke banget, memiliki dokter yg kompeten juga. review dokter membantu jadi pertimbangan. sukses untuk Halodoc",5
"ini seriusan setaip mau chat dokter harus bayar padhl udah bayar 1 dokter trus harus bayar dokter"" lain lagi beda banget sama aplikasi yg satu nya bayar 1x bisa bebas chat dokter manapun untuk selanjutnya gak rekomendasi banget👊👊👊",1
"sempet konsultasi, tapi tidak ada respon sama sekali dari dokternya, dan si dokter nyuruh buat konsultasi lagi? berarti saya harus buang buang duit saya lagi buat ngomong sama dokter yang gapernah respon pasiennya ya? udah gitu alasan dokter tersebut gangguan sinyal. percuma buang buang duit kalo kayak gitu.",1
